css-175oi2r href,css-9pa8cd src,ID,css-1jxf684 2,css-1jxf684 3,css-146c3p1,Comments,css-1jxf684 5,comment repost,comment react,comment view,css-175oi2r href 4,css-146c3p1 href,r-4qtqp9 src,r-4qtqp9 src 2
https://x.com/jayroo69,https://pbs.twimg.com/profile_images/1558909868769148928/6e5oA_t6_normal.jpg,Jayroo,@jayroo69,?˙,28-Jul,That looks like the trampoline from the Deacon's backyard,2,,1.7K,,https://x.com/jayroo69/status/1949662582891057422/analytics,https://x.com/jayroo69/status/1949662582891057422,,
https://x.com/DannyNoonanGolf,https://pbs.twimg.com/profile_images/1976407090349346816/iwAibp7P_normal.jpg,Danny Noonan,@DannyNoonanGolf,?˙,28-Jul,I bet they were doing something else right after.,2,Parody account,227,,https://x.com/DannyNoonanGolf/status/1949666011122172061/analytics,https://x.com/DannyNoonanGolf/status/1949666011122172061,,https://abs-0.twimg.com/emoji/v2/svg/1f3cc.svg
https://x.com/Boostmetax,https://pbs.twimg.com/profile_images/1977395840441626624/ZrxJqGw9_normal.jpg,Boost,@Boostmetax,?˙,28-Jul,Bunnies on a trampoline - a blessed sight indeed.,2,,1.2K,,https://x.com/Boostmetax/status/1949655832121254032/analytics,https://x.com/Boostmetax/status/1949655832121254032,,
https://x.com/Sinsonx,https://pbs.twimg.com/profile_images/1985918954536386561/krSeuS6K_normal.jpg,Sins,@Sinsonx,?˙,28-Jul,When the,1,2,7.1K,@GuidesPFP,https://x.com/Sinsonx/status/1949672323411566928/analytics,https://x.com/Sinsonx/status/1949672323411566928,,
https://x.com/0xFilipko23,https://pbs.twimg.com/profile_images/1982906353690484736/-WEoJfET_normal.png,BlackPinzel,@0xFilipko23,?˙,28-Jul,Love this,1,,17,,https://x.com/0xFilipko23/status/1949728897320263734/analytics,https://x.com/0xFilipko23/status/1949728897320263734,https://abs-0.twimg.com/emoji/v2/svg/2764.svg,https://abs-0.twimg.com/emoji/v2/svg/1f48e.svg
https://x.com/miagia,https://pbs.twimg.com/profile_images/1949598047844864000/QzyTabd-_normal.jpg,Mia Gia,@miagia,?˙,28-Jul,im gonna cri,1,,528,,https://x.com/miagia/status/1949656279355449639/analytics,https://x.com/miagia/status/1949656279355449639,,
https://x.com/carolinecwilder,https://pbs.twimg.com/profile_images/1971395424213712896/RVTVZeuq_normal.jpg,Caroline,@carolinecwilder,?˙,28-Jul,lol,1,Caroline,1.8K,@carolinecwilder,https://x.com/carolinecwilder/status/1949666303750390252/analytics,https://x.com/carolinecwilder/status/1949666303750390252,,
https://x.com/mrdariusone,https://pbs.twimg.com/profile_images/1950045137830047744/eNfQ6XYn_normal.jpg,MR. DARIUS,@mrdariusone,?˙,28-Jul,ItÉ??s a summer thing,1,,772,,https://x.com/mrdariusone/status/1949696831882924499/analytics,https://x.com/mrdariusone/status/1949696831882924499,https://abs-0.twimg.com/emoji/v2/svg/1f525.svg,https://abs-0.twimg.com/emoji/v2/svg/269c.svg
https://x.com/auderdy,https://pbs.twimg.com/profile_images/1115257449144049664/taDeFWvq_normal.jpg,Audrey,@auderdy,?˙,28-Jul,,1,1,1K,@Noahpinion,https://x.com/auderdy/status/1949692142533939605/analytics,https://x.com/auderdy/status/1949692142533939605,,
https://x.com/AquaMetaX,https://pbs.twimg.com/profile_images/1977194636696309760/KWIkcgpq_normal.jpg,Aqua,@AquaMetaX,?˙,28-Jul,"This doesn't even look real, it's so cute!",1,,319,,https://x.com/AquaMetaX/status/1949661036853739529/analytics,https://x.com/AquaMetaX/status/1949661036853739529,,
https://x.com/AirlearnApp,https://pbs.twimg.com/profile_images/1914624321978556422/4DHU8nCE_normal.jpg,Airlearn,@AirlearnApp,?˙,28-Jul,same. this is my roman empire now.,1,,688,,https://x.com/AirlearnApp/status/1949790271673082112/analytics,https://x.com/AirlearnApp/status/1949790271673082112,,
