css-175oi2r href,css-9pa8cd src,ID,css-1jxf684 2,css-146c3p1 href,css-146c3p1,Quote,css-9pa8cd src 2,css-9pa8cd src 3,css-1jxf684 9,comment react,comment repost,css-175oi2r href 4,comment view,r-4qtqp9 src,quoted text,r-1p0dtai src,r-4qtqp9 src 2
https://x.com/catsintardis,https://pbs.twimg.com/profile_images/1898513119548153856/BoSDKjOY_normal.jpg,amelia,@catsintardis,https://x.com/catsintardis/status/1950147393795571910,29-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,https://pbs.twimg.com/amplify_video_thumb/1949655622481317888/img/fRnMX5a_vs9vvzHW.jpg,,1,4,https://x.com/catsintardis/status/1950147393795571910/analytics,129,,bu aiméÒè??????? yapma noluuuuurrr,blob:https://x.com/98deb0de-f67b-4e81-aa3a-4661d32cfe8c,
https://x.com/michaeltomasg,https://pbs.twimg.com/profile_images/1977700585118875649/-3APtJeL_normal.jpg,M I K E,@michaeltomasg,https://x.com/michaeltomasg/status/1951019561282900144,31-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,,0:03 / 0:08,3,1,https://x.com/michaeltomasg/status/1951019561282900144/analytics,2.5K,,The eight second mark is the best way to know if a video is AI generated or not for now,blob:https://x.com/9a1c054a-dba4-4d42-855f-f4342332680c,
https://x.com/cajenidi,https://pbs.twimg.com/profile_images/1985339618045353984/O7l-1mwl_normal.jpg,âˇêâˇ?,@cajenidi,https://x.com/cajenidi/status/1950353382998458815,30-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,,0:06,1,5,https://x.com/cajenidi/status/1950353382998458815/analytics,193,,âù¨â??ç?ˇçˇ?â¯?,blob:https://x.com/f33df63e-a2c4-4c9a-a09e-fe87d8401f0c,
https://x.com/CelticKali,https://pbs.twimg.com/profile_images/1910462097734946816/CIz-720v_normal.jpg,Anti-colonialist,@CelticKali,https://x.com/CelticKali/status/1949766741216882752,28-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,https://pbs.twimg.com/amplify_video_thumb/1949655622481317888/img/fRnMX5a_vs9vvzHW.jpg,,2,4,https://x.com/CelticKali/status/1949766741216882752/analytics,67,,Good morning!,blob:https://x.com/8f18a44d-73d8-4595-92dd-eb9f63249353,https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg
https://x.com/AntiMullet2,https://pbs.twimg.com/profile_images/1903539440322027520/fLcq6UG3_normal.jpg,Newmo Matt,@AntiMullet2,https://x.com/AntiMullet2/status/1949798087716700555,28-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,https://pbs.twimg.com/amplify_video_thumb/1949655622481317888/img/fRnMX5a_vs9vvzHW.jpg,,1,8,https://x.com/AntiMullet2/status/1949798087716700555/analytics,263,https://abs-0.twimg.com/emoji/v2/svg/1f622.svg,I donÉ??t want it to be AI,blob:https://x.com/4bb9bfd2-2aab-4fd1-9e44-ee4b31f15041,
https://x.com/CelticKali,https://pbs.twimg.com/profile_images/1910462097734946816/CIz-720v_normal.jpg,Anti-colonialist,@CelticKali,https://x.com/CelticKali/status/1949766741216882752,28-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,,0:01 / 0:08,2,4,https://x.com/CelticKali/status/1949766741216882752/analytics,67,,Good morning!,blob:https://x.com/8f18a44d-73d8-4595-92dd-eb9f63249353,https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg
https://x.com/AntiMullet2,https://pbs.twimg.com/profile_images/1903539440322027520/fLcq6UG3_normal.jpg,Newmo Matt,@AntiMullet2,https://x.com/AntiMullet2/status/1949798087716700555,28-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,,0:06,1,8,https://x.com/AntiMullet2/status/1949798087716700555/analytics,263,https://abs-0.twimg.com/emoji/v2/svg/1f622.svg,I donÉ??t want it to be AI,blob:https://x.com/4bb9bfd2-2aab-4fd1-9e44-ee4b31f15041,
https://x.com/schaingarte,https://pbs.twimg.com/profile_images/1519059590/______________normal.jpg,?õ???ˇ?¶?? Nattie,@schaingarte,https://x.com/schaingarte/status/1950173266691141977,29-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,https://pbs.twimg.com/amplify_video_thumb/1949655622481317888/img/fRnMX5a_vs9vvzHW.jpg,,1,,https://x.com/schaingarte/status/1950173266691141977/analytics,44,https://abs-0.twimg.com/emoji/v2/svg/1f603.svg,???? AI ???õ???????? ????????,blob:https://x.com/1d98113f-b2d2-498b-a499-f2629bb2c03e,
https://x.com/stakelively,https://pbs.twimg.com/profile_images/1526710299662983168/931ySFfF_normal.jpg,sneezed on the eth and the eth got sicker,@stakelively,https://x.com/stakelively/status/1949827359617499344,28-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,https://pbs.twimg.com/amplify_video_thumb/1949655622481317888/img/fRnMX5a_vs9vvzHW.jpg,,2,,https://x.com/stakelively/status/1949827359617499344/analytics,61,,when ur being mean to me this is who ur talking to ass video,blob:https://x.com/07608eba-7675-4187-9c98-5baa41d62d1b,
https://x.com/AntiMullet2,https://pbs.twimg.com/profile_images/1903539440322027520/fLcq6UG3_normal.jpg,Newmo Matt,@AntiMullet2,https://x.com/AntiMullet2/status/1949798087716700555,28-Jul,Never knew how much I needed to see bunnies jumping on a trampoline,https://pbs.twimg.com/profile_images/1581014308397502464/NPogKMyk_mini.jpg,,0:03 / 0:08,1,8,https://x.com/AntiMullet2/status/1949798087716700555/analytics,263,https://abs-0.twimg.com/emoji/v2/svg/1f622.svg,I donÉ??t want it to be AI,blob:https://x.com/4bb9bfd2-2aab-4fd1-9e44-ee4b31f15041,
